,Date,Department,Category,CustomerCode,Price,Quantity
2523,2014-08-18,Sides,Yogurt,CWM11331L8O,12.0,5.0
2524,2015-09-09,Sides,Roll,CWM11331L8O,5.0,5.0
2525,2016-09-15,Entrees,Lamb Chops,CWM11331L8O,24.0,10.0
2526,2016-07-25,Sides,Yogurt,CWM11331L8O,12.0,3.0
2527,2014-06-23,Sides,Roll,CWM11331L8O,5.0,6.0
2528,2016-04-07,Kabobs,Beef,CWM11331L8O,25.0,12.0
2529,2016-08-06,Kabobs,Lamb,CWM11331L8O,28.0,16.0
2530,2016-11-17,Kabobs,Chicken,CWM11331L8O,33.0,15.0
2531,2014-12-15,Sides,Rice,CWM11331L8O,9.0,16.0
2532,2014-05-03,Kabobs,Chicken,CWM11331L8O,33.0,8.0
2533,2016-03-28,Sides,Yogurt,CWM11331L8O,12.0,11.0
2534,2017-03-25,Kabobs,Beef,CWM11331L8O,28.0,8.0
2535,2015-12-21,Sides,Rice,CWM11331L8O,9.0,11.0
2536,2016-10-15,Kabobs,Chicken,CWM11331L8O,33.0,14.0
2537,2015-04-16,Kabobs,Chicken,CWM11331L8O,33.0,9.0
2538,2014-08-27,Entrees,Beef and Broccoli,CWM11331L8O,47.0,6.0
2539,2016-05-23,Entrees,Beef and Broccoli,CWM11331L8O,28.0,19.0
2540,2014-05-14,Sides,Yogurt,CWM11331L8O,12.0,13.0
2541,2016-04-06,Kabobs,Beef,CWM11331L8O,25.0,7.0
2542,2014-10-07,Sides,Rice,CWM11331L8O,9.0,14.0
2543,2015-07-29,Sides,Yogurt,CWM11331L8O,12.0,6.0
2544,2015-03-18,Sides,Roll,CWM11331L8O,5.0,12.0
2545,2015-03-12,Entrees,Lamb Chops,CWM11331L8O,32.0,11.0
2546,2014-12-11,Entrees,Beef and Broccoli,CWM11331L8O,47.0,13.0
2547,2015-08-23,Kabobs,Chicken,CWM11331L8O,33.0,13.0
2548,2015-05-13,Kabobs,Beef,CWM11331L8O,25.0,13.0
2549,2015-05-09,Sides,Yogurt,CWM11331L8O,12.0,14.0
2550,2015-05-03,Kabobs,Chicken,CWM11331L8O,33.0,14.0
2551,2016-06-04,Sides,Yogurt,CWM11331L8O,12.0,16.0
2552,2015-02-19,Kabobs,Beef,CWM11331L8O,25.0,9.0
2553,2016-02-27,Entrees,Beef and Broccoli,CWM11331L8O,21.0,10.0
2554,2016-09-18,Entrees,Lamb Chops,CWM11331L8O,17.0,10.0
2555,2014-02-11,Kabobs,Beef,CWM11331L8O,25.0,16.0
2556,2015-08-03,Sides,Rice,CWM11331L8O,9.0,4.0
2557,2014-11-15,Entrees,Lamb Chops,CK25715OLD,30.0,9.0
2558,2015-09-16,Kabobs,Chicken,CWM11331L8O,33.0,6.0
2559,2016-01-05,Kabobs,Chicken,CWM11331L8O,33.0,10.0
2560,2015-07-16,Kabobs,Beef,CWM11331L8O,25.0,3.0
2561,2016-02-10,Entrees,Lamb Chops,CWM11331L8O,8.0,4.0
2562,2016-01-05,Sides,Roll,CWM11331L8O,5.0,17.0
2563,2016-03-10,Sides,Yogurt,CWM11331L8O,12.0,9.0
2564,2016-03-30,Kabobs,Lamb,CWM11331L8O,28.0,8.0
2565,2014-02-13,Sides,Roll,CWM11331L8O,5.0,18.0
2566,2016-06-01,Entrees,Beef and Broccoli,CY39423A9P,28.0,4.0
2567,2016-02-03,Sides,Yogurt,CWM11331L8O,12.0,21.0
2568,2015-08-31,Kabobs,Chicken,CWM11331L8O,33.0,15.0
2569,2015-11-19,Sides,Yogurt,CWM11331L8O,12.0,11.0
2570,2015-11-25,Kabobs,Beef,CWM11331L8O,25.0,2.0
2571,2014-04-12,Entrees,Beef and Broccoli,CWM11331L8O,30.0,16.0
2572,2014-10-15,Kabobs,Chicken,CWM11331L8O,33.0,9.0
2573,2014-10-12,Kabobs,Beef,CWM11331L8O,25.0,17.0
2574,2015-09-28,Sides,Yogurt,CUN7646FOA,12.0,18.0
2575,2014-04-28,Entrees,Lamb Chops,CWM11331L8O,16.0,18.0
2576,2014-09-22,Sides,Yogurt,CWM11331L8O,12.0,10.0
2577,2014-10-16,Kabobs,Beef,CWM11331L8O,25.0,12.0
2578,2015-12-17,Kabobs,Chicken,CWM11331L8O,33.0,12.0
2579,2014-12-06,Kabobs,Chicken,CWM11331L8O,33.0,2.0
2580,2014-04-23,Sides,Yogurt,CWM11331L8O,12.0,13.0
2581,2014-02-26,Sides,Rice,CWM11331L8O,9.0,11.0
2582,2015-08-17,Kabobs,Chicken,CWM11331L8O,33.0,17.0
2583,2017-01-15,Sides,Yogurt,CWM11331L8O,12.0,15.0
2584,2015-05-02,Kabobs,Beef,CWM11331L8O,25.0,10.0
2585,2015-12-10,Sides,Roll,CWM11331L8O,5.0,19.0
2586,2014-04-26,Sides,Chips,CWM11331L8O,8.0,9.0
2587,2014-03-04,Entrees,Beef and Broccoli,CWM11331L8O,12.0,14.0
2588,2015-07-26,Entrees,Beef and Broccoli,CWM11331L8O,27.0,12.0
2590,2015-11-22,Sides,Yogurt,CWM11331L8O,12.0,16.0
2591,2015-03-26,Kabobs,Lamb,CWM11331L8O,28.0,22.0
2592,2015-04-13,Sides,Rice,CWM11331L8O,9.0,12.0
2593,2014-07-07,Kabobs,Chicken,CWM11331L8O,33.0,5.0
2594,2014-04-29,Entrees,Lamb Chops,C5G115034OW,32.0,14.0
2595,2015-03-04,Kabobs,Chicken,CWM11331L8O,33.0,7.0
2596,2017-02-06,Entrees,Lamb Chops,CWM11331L8O,46.0,14.0
2597,2015-09-17,Sides,Yogurt,CWM11331L8O,12.0,6.0
2598,2015-06-03,Entrees,Beef and Broccoli,CWM11331L8O,27.0,17.0
2599,2014-01-08,Kabobs,Chicken,CI325864W7,33.0,19.0
2600,2016-01-14,Sides,Chips,CWM11331L8O,8.0,8.0
2601,2014-04-13,Kabobs,Lamb,CWM11331L8O,28.0,10.0
2602,2016-10-25,Sides,Yogurt,CWM11331L8O,12.0,15.0
2603,2016-01-09,Kabobs,Beef,CWM11331L8O,25.0,13.0
2604,2015-09-30,Entrees,Lamb Chops,CII81110C0,27.0,16.0
2605,2014-07-01,Sides,Yogurt,CWM11331L8O,12.0,14.0
2606,2015-01-14,Kabobs,Pork,CWM11331L8O,28.0,14.0
2607,2016-11-12,Sides,Yogurt,CWM11331L8O,12.0,9.0
2608,2015-10-29,Entrees,Beef and Broccoli,CWM11331L8O,19.0,9.0
2609,2014-03-13,Sides,Yogurt,CWM11331L8O,12.0,11.0
2610,2016-03-09,Entrees,Lamb Chops,CWM11331L8O,30.0,14.0
2611,2015-09-07,Kabobs,Lamb,CWM11331L8O,28.0,15.0
2612,2014-03-04,Kabobs,Chicken,CWM11331L8O,33.0,21.0
2613,2016-02-28,Entrees,Lamb Chops,CL011135U7B,15.0,7.0
2614,2014-09-28,Kabobs,Chicken,CWM11331L8O,33.0,10.0
2615,2014-01-05,Kabobs,Beef,CWM11331L8O,25.0,2.0
2616,2016-04-26,Kabobs,Chicken,CWM11331L8O,33.0,15.0
2617,2017-02-14,Sides,Chips,CWM11331L8O,8.0,11.0
2618,2016-02-08,Entrees,Beef and Broccoli,CWM11331L8O,15.0,10.0
2619,2014-08-24,Kabobs,Chicken,CWM11331L8O,33.0,16.0
2620,2014-08-31,Kabobs,Chicken,COO5048RPY,33.0,6.0
2621,2014-07-12,Sides,Rice,CWM11331L8O,9.0,10.0
2622,2015-10-17,Kabobs,Beef,CWM11331L8O,25.0,10.0
2623,2015-01-07,Kabobs,Beef,CM560762I0,25.0,13.0
2624,2015-01-29,Kabobs,Beef,CWM11331L8O,25.0,18.0
2625,2015-01-20,Kabobs,Chicken,CWM11331L8O,33.0,18.0
2626,2016-11-09,Kabobs,Chicken,CWM11331L8O,33.0,6.0
2627,2015-10-08,Sides,Roll,CWM11331L8O,5.0,17.0
2628,2014-07-08,Kabobs,Beef,CWM11331L8O,25.0,11.0
2629,2014-09-27,Kabobs,Chicken,CWM11331L8O,33.0,6.0
2630,2014-08-13,Sides,Yogurt,CWM11331L8O,12.0,5.0
2631,2014-09-23,Sides,Roll,CWM11331L8O,5.0,10.0
2632,2015-01-03,Kabobs,Chicken,CWM11331L8O,33.0,11.0
2633,2014-06-26,Kabobs,Beef,CWM11331L8O,25.0,17.0
2634,2017-02-15,Sides,Roll,CWM11331L8O,5.0,15.0
2635,2014-06-08,Entrees,Lamb Chops,CWM11331L8O,19.0,7.0
2636,2015-03-25,Entrees,Lamb Chops,CWM11331L8O,26.0,11.0
2637,2016-02-08,Sides,Rice,CWM11331L8O,9.0,13.0
2639,2016-08-30,Kabobs,Chicken,CWM11331L8O,33.0,11.0
2640,2017-03-02,Kabobs,Chicken,CWM11331L8O,33.0,12.0
2641,2015-08-29,Sides,Yogurt,CWM11331L8O,12.0,16.0
2642,2015-12-31,Sides,Yogurt,CWM11331L8O,12.0,6.0
2643,2016-11-05,Sides,Yogurt,CWM11331L8O,12.0,7.0
2644,2016-03-07,Entrees,Beef and Broccoli,CWM11331L8O,28.0,22.0
2645,2015-03-01,Kabobs,Pork,CWM11331L8O,28.0,10.0
2646,2015-05-18,Kabobs,Lamb,CWM11331L8O,28.0,10.0
2647,2016-10-05,Sides,Yogurt,CWM11331L8O,12.0,13.0
2648,2014-11-11,Kabobs,Pork,CWM11331L8O,28.0,11.0
2650,2016-03-13,Kabobs,Chicken,CWM11331L8O,33.0,7.0
2651,2014-09-14,Entrees,Beef and Broccoli,CWM11331L8O,27.0,8.0
2652,2015-02-22,Kabobs,Chicken,CWM11331L8O,33.0,7.0
2653,2015-01-14,Kabobs,Beef,CHG61139LZ,25.0,15.0
2654,2015-03-12,Kabobs,Chicken,CWM11331L8O,33.0,7.0
2655,2016-12-27,Kabobs,Chicken,CWM11331L8O,33.0,13.0
2656,2015-07-12,Sides,Rice,CWM11331L8O,9.0,3.0
2657,2016-06-09,Kabobs,Beef,C1S6035YX1,28.0,10.0
2658,2014-06-25,Sides,Yogurt,CWM11331L8O,12.0,14.0
2659,2014-11-20,Kabobs,Chicken,CWM11331L8O,33.0,13.0
2660,2014-06-02,Kabobs,Chicken,CWM11331L8O,33.0,3.0
2661,2016-09-03,Kabobs,Chicken,CWM11331L8O,33.0,17.0
2662,2016-11-30,Kabobs,Chicken,CWM11331L8O,33.0,3.0
2663,2014-08-26,Kabobs,Lamb,CWM11331L8O,28.0,11.0
